0,1,2,3,4,5,6,7
北京大学,北京大学“一带一路”书院,北京大学“一带一路”数据分析平台,北京大学“一带一路”研究中心,2015北京大学“一带一路”研究方法论研讨会,北大光华“一带一路”发展论坛,2016第五届北大光华“一带一路”发展论坛,北京大学汇丰商学院海上丝路研究中心
中国人民大学,中国人民大学 “一带一路” 经济研究院,2015首届中国人民大学“一带一路”经济论坛,2016中国人民大学推进共建“一带一路”教育行动研讨会,中国人民大学一带一路文物修复研究院,中国人民大学法学院“一带一路”法律研究中心,中国人民大学一带一路经济研究院·新疆塔城研究园区,2014一带一路暨中国人民大学考古学科建设研讨会
清华大学,清华大学一带一路战略研究院,2017清华大学首届“一带一路”合作论坛,2017清华大学“一带一路”学生海外社会实践论坛,清华大学研究生赴泰国开展“一带一路”调研实践,陆洋(清华一带一路战略研究院研究员),2016绿色低碳“一带一路”研讨会,2017“一带一路”与民族事务治理论坛
北京交通大学,北京交通大学“一带一路”产业研究院敦煌研究所,,,,,,
北京工业大学,"",翟东升(中国人民大学国际关系学院副院长、教授),翟东升(北京工业大学经济与管理学院教授),中国高等职业教育国际化,,,
北京航空航天大学,"",蔡晶晶(北京永信至诚科技股份有限公司董事长),,,,,
北京理工大学,,,,,,,
北京科技大学,北京科技大学中国一带一路发展研究院,2019一带一路安全与防灾国际学术论坛,张达威(北京科技大学教授),宋波(北科大土木工程系教授),2017年“一带一路”材料论坛,王凡妹,栗时锋
北京化工大学,北京化工大学“一带一路”学院,,,,,,
北京邮电大学,"",2017“一带一路”T.621移动终端动漫国际标准产业发展论坛,北京邮电大学南太平洋地区研究中心,陈岩(北京邮电大学教授),2016“一带一路”战略下国际商法前沿问题研讨会,2017“一带一路”移动终端动漫产业发展论坛,北京邮电大学继续教育学院
中国农业大学,中国农业大学“一带一路”农业合作学院,2018“一带一路”与农业文明学术研讨会,“一带一路”生态农业与食品安全论坛,“一带一路”农业企业合作联盟,2017“一带一路”框架下的农业国际合作论坛,2015“一带一路与区域发展”学术研讨会,“一带一路”动物科技创新联盟
北京林业大学,,,,,,,
北京中医药大学,,,,,,,
北京师范大学,北京师范大学“一带一路”学院,北京师范大学“一带一路”能源研究中心,刘倩(北京师范大学一带一路学院院长助理),2018“一带一路”沿线国家产业发展研讨会,“一带一路”高校战略联盟,2017“一带一路”国家教育交流与合作高端研讨会,推进共建“一带一路”教育专题研究
北京外国语大学,"",,,,,,
中国传媒大学,"",“一带一路”国家媒体指南,2018“一带一路”理论体系建设高峰论坛,刘倩(北京师范大学一带一路学院院长助理),2017《“一带一路”与我们的未来》中期报告暨研讨会,2016青年观“一带一路”语言与跨文化传播论坛,融合与创新:“一带一路”软力量建设研究
中央财经大学,"",2016“一带一路”倡议推进中的法律纠纷解决国际研讨会,2016“一带一路”战略下国际商法前沿问题研讨会,中国人民大学法学院“一带一路”法律研究中心,2016一带一路与中国(新疆)对外贸易发展学术研讨会,2017“一带一路”中巴科技与经济合作学术论坛,中央财经大学粤港澳大湾区(黄埔)研究院
对外经济贸易大学,对外经济贸易大学“一带一路”PPP发展研究中心,中国大学生“一带一路”协同发展行动中心,解码一带一路,2016一带一路与中国(新疆)对外贸易发展学术研讨会,2017“一带一路与争议解决”国际学术研讨会,一带一路战略与海关国际合作机制,对外经济贸易大学区域国别研究院
北京体育大学,"",,,,,,
中央音乐学院,中央音乐学院“一带一路”音乐交流发展研究中心,“一带一路”音乐教育联盟,2017“一带一路与文明互鉴”智库圆桌论坛,2017“一带一路”商贸与文化交流论坛,2017“一带一路”文化遗产国际学术研讨会,2017“丝绸之路”创作计划:管弦乐新作品音乐会,崔杉
中央民族大学,中央民族大学“一带一路”与民族发展研究院,“一带一路”民族文化大数据中心,2017“一带一路”与民族事务治理论坛,“一带一路”倡议与民族教育发展,2015“一带一路”与民族地区发展学术研讨会,2016民族地区经济与“一带一路”研讨会,中央民族大学
中国政法大学,中国政法大学“一带一路”法律研究中心,,,,,,
华北电力大学,陈燕红(律师),,,,,,
南开大学,,,,,,,
天津大学,“一带一路”高校战略联盟,,,,,,
天津医科大学,,,,,,,
河北工业大学,天津理工大学“一带一路”中东欧研究院,河北工业大学智慧基础设施研究院,,,,,
太原理工大学,,,,,,,
内蒙古大学,,,,,,,
辽宁大学,,,,,,,
大连理工大学,大连理工大学“一带一路”高等教育研究中心,,,,,,
东北大学,郑州大学,,,,,,
大连海事大学,,,,,,,
吉林大学,吉林大学“一带一路”研究中心,2015“一带一路”建设与草原文化对外传播学术研讨会,2015“一带一路:国际政治经济学视角”学术研讨会,2016“一带一路”倡议与中国比较法的发展研讨会,“一带一路”沿线国家对华对日贸易格局演变,2015“一带一路建设与中日韩合作”学术研讨会,2015“一带一路”战略国际研讨会
延边大学,,,,,,,
东北师范大学,陈燕红(律师),,,,,,
哈尔滨工业大学,,,,,,,
哈尔滨工程大学,哈尔滨工程大学深圳海洋研究院,国际船舶与海洋工程创新与合作联盟,,,,,
东北农业大学,,,,,,,
东北林业大学,,,,,,,
复旦大学,复旦大学一带一路及全球治理研究院,张励(复旦大学一带一路及全球治理研究院研究员),黄仁伟(复旦大学一带一路全球治理研究院常务副院长),复旦大学中国研究院数字一带一路研究中心,“一带一路”人类表型组联合研究中心,“一带一路”高校战略联盟,2017“‘一带一路’:中国和世界的机遇”学术研讨会
同济大学,同济大学一带一路安全问题协同创新中心,2015新疆大学-同济大学“一带一路”学术研讨会,来华留学生视野中的“一带一路”倡议,同济大学,2017年“一带一路”战略实施与人才培养论坛,2015“一带一路”大讲堂,“一带一路”高校战略联盟
上海交通大学,2018“一带一路”科技创新国际论坛,2015 “一带一路城市研究的新进展与新思路”论坛,2016“一带一路”国家战略与基础设施投资研讨会,改变世界经济地理的“一带一路”,改变世界经济地理的“一带一路 ”,一带一路引领全球化新时代,2017“一带一路”科技创新联盟首届峰会
华东理工大学,,,,,,,
东华大学,东华大学纺织行业“一带一路”国际合作发展研究中心,,,,,,
华东师范大学,2018华东师范大学首届“一带一路与全球发展”论坛,2017“一带一路”中国教育装备产业发展高峰论坛,2018“一带一路”与中非命运共同体学术研讨会,“一带一路”沿线国家职业教育概览,“一带一路”高校战略联盟,2018“‘一带一路’与上合组织”全国中亚问题研讨会,“一带一路”大学智库联盟国际研讨会
上海外国语大学,上海外国语大学“一带一路”金融研究中心,2017全国外语院校“一带一路”教育行动高端论坛,“一带一路”与中阿关系研讨会,“一带一路”背景下的多语种人才培养研究,2016多学科视角下的一带一路研究学术研讨会,“一带一路”沿线国家环境法概论,2016当前中东局势及“一带一路”建设学术研讨会
上海财经大学,,,,,,,
上海大学,,,,,,,
第二军医大学,,,,,,,
南京大学,臧小佳,,,,,,
苏州大学,苏州大学“一带一路”发展研究院(老挝研究中心),,,,,,
东南大学,“一带一路”建设与全球贸易及文化交流,“一带一路”高校战略联盟,2016“一带一路”高校联盟论坛,,,,
南京航空航天大学,,,,,,,
南京理工大学,南京理工大学一带一路语言文化传播战略研究中心,,,,,,
中国矿业大学,,,,,,,
河海大学,“一带一路”高校战略联盟,常州市社会科学院“一带一路”非洲研究中心,2018“一带一路”与中非命运共同体学术研讨会,,,,
江南大学,江苏大学“一带一路”国际人才培养产学联盟,,,,,,
南京农业大学,“一带一路”高校战略联盟,2018“一带一路”与农业文明学术研讨会,2015“一带一路与区域发展”学术研讨会,南京农业大学农学院,2017年 “一带一路”生物健康农业国际研讨会,刘晓光(南京农业大学公共管理学院副教授),南京农业大学连云港新农村发展研究院
中国药科大学,,,,,,,
南京师范大学,,,,,,,
浙江大学,浙江大学“一带一路”合作与发展协同创新中心,浙江大学“一带一路”国际医学院,“一带一路”读本(浙江大学出版社出版的图书),温州大学激光与光电智能制造研究院,,,
安徽大学,萧县,,,,,,
中国科学技术大学,“一带一路”高校战略联盟,,,,,,
合肥工业大学,写给青少年的“一带一路”历史,,,,,,
厦门大学,厦门大学法学院“一带一路”法律研究中心,华侨华人研究报告(2017),商务英语口语与实训,,,,
福州大学,上海艺术礼品博物馆,,,,,,
南昌大学,,,,,,,
山东大学,山东大学留学生“一带一路”研究会,青岛:“一带一路”城市行动(2017),2016“一带一路在南亚”国际学术研讨会,2017“一带一路”倡议的法律支撑研讨会,“一带一路”标准化教育与研究大学联盟,2016一带一路倡议与泛南海共同发展国际研讨会,2017年“一带一路法律供给与争端解决”研讨会
中国海洋大学,2015“一带一路” 战略学术研讨会,2017“一带一路”多语种翻译及国际传播研讨会,2018“一带一路”与中非命运共同体学术研讨会,中国海洋大学深圳研究院,中国海洋大学法政学院,中国海洋大学非洲研究中心,刘曙光(中国海洋大学教授)
中国石油大学,中国石油大学(北京)克拉玛依校区,2015“一带一路”建设中的风险与应对研讨会,2017“一带一路”青年故事会,王宏禹,,,
郑州大学,2018“一带一路”河南艺术展演周研讨会,2015“一带一路”国际学术研讨会,郑州大学国际学院,2015“一带一路:国际政治经济学视角”学术研讨会,郑州大学,郑州大学农学院,2017文明交往论与一带一路学术研讨会
武汉大学,武汉大学一带一路健康研究院,“一带一路”(中国)仲裁院PPP仲裁中心,“一带一路”法律研究协同创新中心,2018“一带一路·走进湖北”国际研讨班,武汉汉口北“一带一路”市场采购贸易研究中心,“一带一路”倡议文件汇编,2015服务“一带一路”战略的语言建设专题研讨会
华中科技大学,,,,,,,
中国地质大学,2017“长江经济带与一带一路对接融合”研讨会,2017“一带一路”国际地学合作与矿业投资论坛,2016“一带一路”地质调查国际合作研讨会,2017年“一带一路”非金属矿与绿色综合利用学术会议,中国地质大学(武汉)丝绸之路学院,中国地质大学(武汉)地理与信息工程学院,
武汉理工大学,2017年“一带一路”非金属矿与绿色综合利用学术会议,2017西藏“一带一路”科技创新研讨会,区域物流产业的发展——基于“一带一路”视角,魏龙(武汉理工大学教授),2017年“一带一路”背景下民族艺术教育论坛,,
华中农业大学,,,,,,,
华中师范大学,华中师范大学一带一路研究中心,“一带一路”青少年普及读本·丝绸之路经济带,中国“一带一路”(上海)协同创新研究字院,一带一路青少年普及读本·北方丝绸之路,华中师范大学印度研究中心,2017第二届两岸孙学研究青年学者论坛,
中南财经政法大学,赵力国,,,,,,
湖南大学,2015湖南省“一带一路”战略人才保障机制研讨会,,,,,,
中南大学,“一带一路”铁路国际人才教育联盟,2017“一带一路”健康丝路战略研讨会,,,,,
湖南师范大学,湖南师范大学“一带一路”研究院,肖瑛(湖南师范大学湘绣创新研发中心副主任),,,,,
国防科学技术大学,关于全面加强基础科学研究的若干意见,,,,,,
中山大学,2018“‘一带一路’与广州国际大都市建设”学术研讨会,2016“一带一路和广东自贸区建设”学术研讨会,2015“一带一路”战略与港澳发展机遇国际学术研讨会,2017“一带一路”沿线国家国际职业汉语培训首期示范班,,,
暨南大学,暨南大学 “一带一路”与粤港澳大湾区研究院,暨南大学21世纪丝绸之路研究院,,,,,
华南理工大学,“一带一路”商学院联盟,杜小东(“一带一路”先生杜小东),2016“ 文化创新与一带一路建设”学术研讨会,张智勇(华南理工大经济与贸易学院教授),田秋生(华南理工大学经济与贸易学院),华南理工大学公共外交与跨文化传播研究基地,陈红彦(华南理工大学法学院教授)
华南师范大学,,,,,,,
广西大学,陈燕红(律师),,,,,,
海南大学,海南大学“一带一路”研究院,梁海明(海南大学“一带一路”研究院院长),2015“一带一路”与海南国际旅游岛建设高端论坛,2017“一带一路”建设与来华留学事业发展研讨会,,,
四川大学,四川大学“一带一路”研究院,,,,,,
西南交通大学,,,,,,,
电子科技大学,杭州电子科技大学一带一路信息技术研究院,“一带一路”商学院联盟,陕西省高校“一带一路”智库联盟2020年年度会议,“一带一路”非洲研究联盟,一带一路与大西安建设高层学术应用研讨会,,
四川农业大学,四川农业大学学生管乐团,四川农业大学木樨团队,,,,,
西南财经大学,“一带一路”商学院联盟,西南财经大学中国(四川)自由贸易试验区综合研究院,“一带一路”经济学,“一带一路”东道国就业政策与雇佣关系研究,2017年“一带一路”背景下公共经济理论与政策研讨会,西南财经大学出国留学预备学院,2017“一带一路建设中的泰国投资机遇”主题研讨会
重庆大学,“一带一路”高校战略联盟,一带一路(国家级顶层合作倡议),“一带一路”中波大学联盟,“一带一路”工程教育国际联盟,“一带一路”万里行,2017西南地区PPP与“一带一路”专家研讨会,重庆(中华人民共和国直辖市)
西南大学,“一带一路”高校战略联盟,“一带一路”中波大学联盟,西北工业大学“一带一路”跨文化研究所,,,,
贵州大学,,,,,,,
云南大学,,,,,,,
西藏大学,“一带一路”倡议与西藏经济社会发展研究,2017西藏“一带一路”科技创新研讨会,,,,,
西北大学,西北大学“一带一路”研究院,西北大学“一带一路”与“欧亚经济联盟”研究中心,,,,,
西安交通大学,西安交通大学“一带一路”自由贸易试验区研究院,西安交通大学“一带一路”FinTech研究院,陕西省高校“一带一路”智库联盟2020年年度会议,“一带一路”标准化教育与研究大学联盟,毛瑛(西安交通大学教授博士生导师),一带一路战略合作平台,“一带一路”大学智库联盟国际研讨会
西北工业大学,西北工业大学“一带一路”跨文化研究所,2017“一带一路”土木工程学科论坛,“一带一路”商学院联盟,2017“一带一路”航天创新联盟青年学者研讨会,“一带一路”航天创新联盟,“2017首届环境与人类健康系统工程”一带一路国际会议,2017“一带一路”商事法律制度与五新战略研讨会
西安电子科技大学,西安市“一带一路”经济发展中心,陕西省高校“一带一路”智库联盟2020年年度会议,一带一路与大西安建设高层学术应用研讨会,“一带一路”大学智库联盟国际研讨会,2017“一带一路”大学创新创业教育校长论坛,2017“一带一路”下的TESOL研讨及国际交流合作会议,
长安大学,2018绿色低碳“一带一路”国际学术研讨会,2017发展中国家暨‘一带一路’国家科技培训班计划,“一带一路”铁路国际人才教育联盟,,,,
西北农林科技大学,陕西省高校“一带一路”智库联盟2020年年度会议,2018“一带一路”与农业文明学术研讨会,中国农业大学“一带一路”农业合作学院,2015“一带一路与区域发展”学术研讨会,2017年 “一带一路”生物健康农业国际研讨会,“一带一路”农业企业合作联盟,2018年饲料畜牧产业“一带一路”国际合作论
陕西师范大学,陕西省高校“一带一路”智库联盟2020年年度会议,“一带一路”高校战略联盟,2017“一带一路与大西安建设”高端学术论坛,2017中国“一带一路”研究暨西南历史地理学术峰会,2016“一带一路”与中伊关系学术研讨会,2017 “一带一路”战略下文化与教育高端论坛,“一带一路”大学智库联盟国际研讨会
第四军医大学,,,,,,,
兰州大学,兰州大学“一带一路”研究中心,“一带一路”高校战略联盟,2017“一带一路”文化圆桌会议,2017“一带一路”高校联盟大学校长主题论坛,2017“一带一路”与民族事务治理论坛,2016“一带一路”高校联盟论坛,2016“一带一路”倡议与中国外交战略学术研讨会
青海大学,,,,,,,
宁夏大学,,,,,,,
新疆大学,2015新疆大学-同济大学“一带一路”学术研讨会,“一带一路”高校战略联盟,2017第二届“一带一路”与西部发展研讨会,2016一带一路与中国(新疆)对外贸易发展学术研讨会,中国“一带一路”(上海)协同创新研究字院,,
石河子大学,石河子大学“一带一路”核心区创新驱动发展博士论坛,“一带一路”高校战略联盟,2017年“一带一路”核心区创新驱动发展博士论坛,孙志红(石河子大学副教授),2015“一带一路”战略背景下——西部体育发展高层论坛,2016“一带一路”文化市场开拓学术研讨会,石河子大学丝绸之路研究中心
