sentence,university,originalTotal,originalDegreesLength,total,degreesLength,degrees,positions,mbas
"李青原先生,1977年出生,中国国籍,中共党员,武汉大学会计学博士、清华大学工商管理博士后,武汉大学经济与管理学院会计系教授(三级)、博士生导师、哥伦比亚大学访问学者,先后入选中组部“万人计划”青年拔尖人才、教育部“长江学者奖励计划”青年学者、教育部“新世纪优秀人才支持计划”、财政部会计领军特殊支持计划,兼任国务院学位委员会全国审计专业学位研究生教育指导委员会委员、中国管理现代化研究会企业并购研究专业委员会副主任委员、浙江财经大学讲座教授、上海证券交易所博士后流动站合作导师和《中国审计评论》执行主编等",武汉大学,8,3,5,1,"[""博士""]","[""教授"",""导师"",""访问学者""]","[""管理学""]"
"李青原先生,1977年出生,中国国籍,中共党员,武汉大学会计学博士、清华大学工商管理博士后,武汉大学经济与管理学院会计系教授(三级)、博士生导师、哥伦比亚大学访问学者,先后入选中组部“万人计划”青年拔尖人才、教育部“长江学者奖励计划”青年学者、教育部“新世纪优秀人才支持计划”、财政部会计领军特殊支持计划,兼任国务院学位委员会全国审计专业学位研究生教育指导委员会委员、中国管理现代化研究会企业并购研究专业委员会副主任委员、浙江财经大学讲座教授、上海证券交易所博士后流动站合作导师和《中国审计评论》执行主编等",哥伦比亚大学,8,3,5,1,"[""博士""]","[""教授"",""导师"",""访问学者""]","[""管理学""]"
"李青原先生,1977年出生,中国国籍,中共党员,武汉大学会计学博士、清华大学工商管理博士后,武汉大学经济与管理学院会计系教授(三级)、博士生导师、哥伦比亚大学访问学者,先后入选中组部“万人计划”青年拔尖人才、教育部“长江学者奖励计划”青年学者、教育部“新世纪优秀人才支持计划”、财政部会计领军特殊支持计划,兼任国务院学位委员会全国审计专业学位研究生教育指导委员会委员、中国管理现代化研究会企业并购研究专业委员会副主任委员、浙江财经大学讲座教授、上海证券交易所博士后流动站合作导师和《中国审计评论》执行主编等",浙江财经大学,8,3,4,2,"[""硕士"",""博士后""]","[""教授"",""导师""]",[]
"刘标,男,1973年10月出生,拥有厦门大学国际会计学士学位、同济大学工商管理硕士学位(MBA)、比利时联合商学院工商管理博士学位(DBA)、高级会计师和中国注册会计师资格",比利时联合商学院,5,3,5,3,"[""本科"",""硕士"",""博士后""]",[],"[""MBA"",""工商管理""]"
"刘标,男,1973年10月出生,拥有厦门大学国际会计学士学位、同济大学工商管理硕士学位(MBA)、比利时联合商学院工商管理博士学位(DBA)、高级会计师和中国注册会计师资格",同济大学,5,3,5,3,"[""本科"",""硕士"",""博士后""]",[],"[""MBA"",""工商管理""]"
"刘标,男,1973年10月出生,拥有厦门大学国际会计学士学位、同济大学工商管理硕士学位(MBA)、比利时联合商学院工商管理博士学位(DBA)、高级会计师和中国注册会计师资格",厦门大学,5,3,5,3,"[""本科"",""硕士"",""博士后""]",[],"[""MBA"",""工商管理""]"
"陈朱江先生,中国国籍,毕业于天津大学电化学专业、吉林大学企业管理硕士",天津大学,1,1,1,1,"[""硕士""]",[],[]
"陈朱江先生,中国国籍,毕业于天津大学电化学专业、吉林大学企业管理硕士",吉林大学,1,1,1,1,"[""硕士""]",[],[]
"曾任厦门大学经济学院助教、讲师、副教授,暨南大学管理学院副教授、会计学系副主任、会计学系主任、暨南大学国际学院副院长、暨南大学管理学院副院长",厦门大学,4,0,2,0,[],"[""教授"",""讲师""]",[]
"曾任厦门大学经济学院助教、讲师、副教授,暨南大学管理学院副教授、会计学系副主任、会计学系主任、暨南大学国际学院副院长、暨南大学管理学院副院长",暨南大学,4,0,3,0,[],"[""教授"",""院长""]","[""管理学""]"
"陈勇,男,汉族,1970年1月出生,中共党员,1991年7月本科毕业于安徽大学,1994年7月硕士毕业于中国人民大学",安徽大学,2,2,1,1,"[""本科""]",[],[]
"陈勇,男,汉族,1970年1月出生,中共党员,1991年7月本科毕业于安徽大学,1994年7月硕士毕业于中国人民大学",中国人民大学,2,2,1,1,"[""硕士""]",[],[]
"于1995年9月毕业于华西医科大学(现更名四川大学华西医学中心),并于2007年12月获得东华大学工商管理硕士学位",四川大学,2,1,0,0,[],[],[]
"于1995年9月毕业于华西医科大学(现更名四川大学华西医学中心),并于2007年12月获得东华大学工商管理硕士学位",华西医科大学,2,1,0,0,[],[],[]
"于1995年9月毕业于华西医科大学(现更名四川大学华西医学中心),并于2007年12月获得东华大学工商管理硕士学位",东华大学,2,1,2,1,"[""硕士""]",[],"[""工商管理""]"
"冯斌,男,汉族,1970年11月出生,中共预备党员,1992年7月本科毕业于哈尔滨工业大学,2001年9月硕士毕业于华中科技大学",哈尔滨工业大学,2,2,1,1,"[""本科""]",[],[]
"冯斌,男,汉族,1970年11月出生,中共预备党员,1992年7月本科毕业于哈尔滨工业大学,2001年9月硕士毕业于华中科技大学",华中科技大学,2,2,1,1,"[""硕士""]",[],[]
"李明先生,1973年9月出生,中南财经大学市场营销学士,中欧国际工商管理学院EMBA",中南财经大学,4,1,1,1,"[""学士""]",[],[]
"李明先生,1973年9月出生,中南财经大学市场营销学士,中欧国际工商管理学院EMBA",中欧国际工商管理学院,4,1,3,0,[],[],"[""MBA"",""管理学"",""工商管理""]"
"对外经济贸易大学经济学学士、美国国际管理研究生院(AGSIM,A.Z,U.S.A)国际管理硕士、对外经济贸易大学经济学博士",对外经济贸易大学,4,4,2,2,"[""本科"",""硕士""]",[],[]
"对外经济贸易大学经济学学士、美国国际管理研究生院(AGSIM,A.Z,U.S.A)国际管理硕士、对外经济贸易大学经济学博士",对外经济贸易大学,4,4,2,2,"[""硕士"",""博士后""]",[],[]
现任对外经济贸易大学国际经贸学院金融系教授、博士生导师,对外经济贸易大学,3,1,3,1,"[""博士""]","[""教授"",""导师""]",[]
"刘晓明先生,1971年7月出生,工程师、经济师,北京航空航天大学机械工程学士,中欧工商管理学院EMBA",北京航空航天大学,4,1,1,1,"[""学士""]",[],[]
"刘晓明先生,1971年7月出生,工程师、经济师,北京航空航天大学机械工程学士,中欧工商管理学院EMBA",中欧工商管理学院,4,1,3,0,[],[],"[""MBA"",""管理学"",""工商管理""]"
"曾任河北大学经济系教师,中国社会科学院数量经济与技术经济研究所副室主任、室主任、副所长,社科院工业经济研究所党委书记、副所长,深圳能源集团股份有限公司第六届董事会独立董事",河北大学,1,0,0,0,[],[],[]
"曾任河北大学经济系教师,中国社会科学院数量经济与技术经济研究所副室主任、室主任、副所长,社科院工业经济研究所党委书记、副所长,深圳能源集团股份有限公司第六届董事会独立董事",中国社会科学院,1,0,0,0,[],[],[]
"陈先生1984年毕业于华东纺织工学院(现东华大学),1989年起师从中国管理会计学创始人余绪缨教授和著名会计学家藤田昌也教授,1996年取得中日联合培养经济学(会计学)博士学位",华东纺织工学院,2,1,0,0,[],[],[]
"陈先生1984年毕业于华东纺织工学院(现东华大学),1989年起师从中国管理会计学创始人余绪缨教授和著名会计学家藤田昌也教授,1996年取得中日联合培养经济学(会计学)博士学位",东华大学,2,1,0,0,[],[],[]
"曾受聘为中国香港理工大学CAFR中心高级研究员,现为厦门大学EDP课程客座教授",香港理工大学,2,0,1,0,[],"[""研究员""]",[]
"曾受聘为中国香港理工大学CAFR中心高级研究员,现为厦门大学EDP课程客座教授",厦门大学,2,0,1,0,[],"[""教授""]",[]
辽宁大学、东北财经大学、延边大学、河南财经政法大学、中央财经大学国际金融研究中心、厦门大学经济学院、山东理工大学世界经济研究中心兼职教授,中央财经大学,1,0,1,0,[],"[""教授""]",[]
辽宁大学、东北财经大学、延边大学、河南财经政法大学、中央财经大学国际金融研究中心、厦门大学经济学院、山东理工大学世界经济研究中心兼职教授,辽宁大学,1,0,1,0,[],"[""教授""]",[]
辽宁大学、东北财经大学、延边大学、河南财经政法大学、中央财经大学国际金融研究中心、厦门大学经济学院、山东理工大学世界经济研究中心兼职教授,东北财经大学,1,0,1,0,[],"[""教授""]",[]
辽宁大学、东北财经大学、延边大学、河南财经政法大学、中央财经大学国际金融研究中心、厦门大学经济学院、山东理工大学世界经济研究中心兼职教授,延边大学,1,0,1,0,[],"[""教授""]",[]
辽宁大学、东北财经大学、延边大学、河南财经政法大学、中央财经大学国际金融研究中心、厦门大学经济学院、山东理工大学世界经济研究中心兼职教授,厦门大学,1,0,1,0,[],"[""教授""]",[]
辽宁大学、东北财经大学、延边大学、河南财经政法大学、中央财经大学国际金融研究中心、厦门大学经济学院、山东理工大学世界经济研究中心兼职教授,山东理工大学,1,0,1,0,[],"[""教授""]",[]
辽宁大学、东北财经大学、延边大学、河南财经政法大学、中央财经大学国际金融研究中心、厦门大学经济学院、山东理工大学世界经济研究中心兼职教授,河南财经政法大学,1,0,1,0,[],"[""教授""]",[]
"徐创越先生,1979年11月出生,北京物资学院学士,中欧国际商学院EMBA",北京物资学院,2,1,1,1,"[""学士""]",[],[]
"徐创越先生,1979年11月出生,北京物资学院学士,中欧国际商学院EMBA",中欧国际商学院,2,1,1,0,[],[],"[""MBA""]"
"兼任吉林大学商学院兼职教授,东北师范大学兼职教授,河北省南皮县经济发展委员会顾问",吉林大学,1,0,1,0,[],"[""教授""]",[]
"兼任吉林大学商学院兼职教授,东北师范大学兼职教授,河北省南皮县经济发展委员会顾问",东北师范大学,1,0,1,0,[],"[""教授""]",[]
"李江明,男,汉族,1983年6月出生,中共党员,2006年7月本科毕业于武汉科技大学,2015年7月硕士毕业于西安交通大学",武汉科技大学,2,2,1,1,"[""本科""]",[],[]
"李江明,男,汉族,1983年6月出生,中共党员,2006年7月本科毕业于武汉科技大学,2015年7月硕士毕业于西安交通大学",西安交通大学,2,2,1,1,"[""硕士""]",[],[]
"姜俊明,男,1978年2月出生,汉族,辽宁大连人,沈阳工业大学法学专业大学学历,北京大学金融学专业硕士学位",沈阳工业大学,1,1,0,0,[],[],[]
"姜俊明,男,1978年2月出生,汉族,辽宁大连人,沈阳工业大学法学专业大学学历,北京大学金融学专业硕士学位",北京大学,1,1,1,1,"[""硕士""]",[],[]
"黄勇峰先生,1974年5月出生,高级工程师,北京航空航天大学管理工程硕士,中欧国际工商学院EMBA",北京航空航天大学,2,1,1,1,"[""硕士""]",[],[]
"黄勇峰先生,1974年5月出生,高级工程师,北京航空航天大学管理工程硕士,中欧国际工商学院EMBA",中欧国际工商学院,2,1,1,0,[],[],"[""MBA""]"
"盛情女士,1976年4月出生,会计师、高级人力资源管理师,江西财经大学国际会计专门化专业学士,中国香港大学组织与人力资源管理硕士",江西财经大学,2,2,1,1,"[""学士""]",[],[]
"盛情女士,1976年4月出生,会计师、高级人力资源管理师,江西财经大学国际会计专门化专业学士,中国香港大学组织与人力资源管理硕士",香港大学,2,2,1,1,"[""硕士""]",[],[]
"麻美玲,女,汉族,1972年3月出生,中共党员,1994年7月本科毕业于山东农业大学,1997年7月硕士毕业于浙江大学(原浙江农业大学)",山东农业大学,2,2,1,1,"[""本科""]",[],[]
"麻美玲,女,汉族,1972年3月出生,中共党员,1994年7月本科毕业于山东农业大学,1997年7月硕士毕业于浙江大学(原浙江农业大学)",浙江大学,2,2,1,1,"[""硕士""]",[],[]
"麻美玲,女,汉族,1972年3月出生,中共党员,1994年7月本科毕业于山东农业大学,1997年7月硕士毕业于浙江大学(原浙江农业大学)",浙江农业大学,2,2,1,1,"[""硕士""]",[],[]
1984年7月至2003年8月历任中南财经大学(现中南财经政法大学)助教、讲师、副教授,中南财经政法大学,2,0,2,0,[],"[""教授"",""讲师""]",[]
1984年7月至2003年8月历任中南财经大学(现中南财经政法大学)助教、讲师、副教授,中南财经大学,2,0,2,0,[],"[""教授"",""讲师""]",[]
"姚长林,男,1968年1月出生,安徽财经大学会计学专业经济学学士、长江商学院工商管理硕士",长江商学院,3,2,3,2,"[""本科"",""硕士""]",[],"[""工商管理""]"
"姚长林,男,1968年1月出生,安徽财经大学会计学专业经济学学士、长江商学院工商管理硕士",安徽财经大学,3,2,3,2,"[""本科"",""硕士""]",[],"[""工商管理""]"
"陈振坤,男,38岁,获中国传媒大学管理学学士学位、清华大学-中国香港中文大学FMBA工商管理硕士学位",清华大学,5,2,5,2,"[""本科"",""硕士""]",[],"[""MBA"",""管理学"",""工商管理""]"
"陈振坤,男,38岁,获中国传媒大学管理学学士学位、清华大学-中国香港中文大学FMBA工商管理硕士学位",中国传媒大学,5,2,5,2,"[""本科"",""硕士""]",[],"[""MBA"",""管理学"",""工商管理""]"
"陈振坤,男,38岁,获中国传媒大学管理学学士学位、清华大学-中国香港中文大学FMBA工商管理硕士学位",香港中文大学,5,2,5,2,"[""本科"",""硕士""]",[],"[""MBA"",""管理学"",""工商管理""]"
"潘春雷,男,50岁,获内蒙古大学学士学位、清华大学-中国香港中文大学工商管理硕士学位",清华大学,3,2,3,2,"[""本科"",""硕士""]",[],"[""工商管理""]"
"潘春雷,男,50岁,获内蒙古大学学士学位、清华大学-中国香港中文大学工商管理硕士学位",内蒙古大学,3,2,3,2,"[""本科"",""硕士""]",[],"[""工商管理""]"
"潘春雷,男,50岁,获内蒙古大学学士学位、清华大学-中国香港中文大学工商管理硕士学位",香港中文大学,3,2,3,2,"[""本科"",""硕士""]",[],"[""工商管理""]"
"韩智敏,男,毕业于北京电子科技学院,北京大学市场营销专业研究生,美国北佛吉尼亚大学MBA管理硕士",北京电子科技学院,3,2,0,0,[],[],[]
"韩智敏,男,毕业于北京电子科技学院,北京大学市场营销专业研究生,美国北佛吉尼亚大学MBA管理硕士",北京大学,3,2,1,1,"[""研究生""]",[],[]
"吴艳萍,女,1975年出生,本科毕业于重庆建筑大学建筑学专业,中欧国际工商管理学院EMBA,中国国家一级注册建筑师",重庆建筑大学,4,1,1,1,"[""本科""]",[],[]
"吴艳萍,女,1975年出生,本科毕业于重庆建筑大学建筑学专业,中欧国际工商管理学院EMBA,中国国家一级注册建筑师",中欧国际工商管理学院,4,1,3,0,[],[],"[""MBA"",""管理学"",""工商管理""]"
"陈泽桐先生:1970年出生,西南政法大学法学学士,中国香港大学法学硕士,吉林大学法学博士",西南政法大学,3,3,1,1,"[""学士""]",[],[]
"陈泽桐先生:1970年出生,西南政法大学法学学士,中国香港大学法学硕士,吉林大学法学博士",香港大学,3,3,1,1,"[""硕士""]",[],[]
"陈泽桐先生:1970年出生,西南政法大学法学学士,中国香港大学法学硕士,吉林大学法学博士",吉林大学,3,3,1,1,"[""博士""]",[],[]
"男,1965年出生,四川大学化工机械专业,中国科技大学MBA",四川大学,1,0,0,0,[],[],[]
"男,1965年出生,四川大学化工机械专业,中国科技大学MBA",中国科技大学,1,0,1,0,[],[],"[""MBA""]"
"陈泽桐先生:1970年出生,西南政法大学法学学士,中国香港大学法学硕士,吉林大学法学博士",西南政法大学,3,3,1,1,"[""学士""]",[],[]
"陈泽桐先生:1970年出生,西南政法大学法学学士,中国香港大学法学硕士,吉林大学法学博士",香港大学,3,3,1,1,"[""硕士""]",[],[]
"陈泽桐先生:1970年出生,西南政法大学法学学士,中国香港大学法学硕士,吉林大学法学博士",吉林大学,3,3,1,1,"[""博士""]",[],[]
"王宝瑛先生,中国国籍,1964年7月出生,北京航空航天大学学士、中欧国际工商学院EMBA,研究员级高级工程师,无境外永久居留权",北京航空航天大学,3,1,2,1,"[""学士""]",[],"[""MBA""]"
"王宝瑛先生,中国国籍,1964年7月出生,北京航空航天大学学士、中欧国际工商学院EMBA,研究员级高级工程师,无境外永久居留权",中欧国际工商学院,3,1,2,1,"[""学士""]",[],"[""MBA""]"
"沈旸,男,37岁,获国防科学技术大学工学学士学位、上海交通大学工学硕士学位",上海交通大学,2,2,2,2,"[""本科"",""硕士""]",[],[]
"沈旸,男,37岁,获国防科学技术大学工学学士学位、上海交通大学工学硕士学位",国防科学技术大学,2,2,2,2,"[""本科"",""硕士""]",[],[]
先后就读于郑州大学外语系英美文学专业、北京大学心理学系应用心理学专业,北京大学,0,0,0,0,[],[],[]
先后就读于郑州大学外语系英美文学专业、北京大学心理学系应用心理学专业,郑州大学,0,0,0,0,[],[],[]
"王恺,男,1983年9月生,华中科技大学博士,中共党员,南方科技大学电子与电气工程系副教授、研究员",华中科技大学,3,1,1,1,"[""博士""]",[],[]
"王恺,男,1983年9月生,华中科技大学博士,中共党员,南方科技大学电子与电气工程系副教授、研究员",南方科技大学,3,1,2,0,[],"[""教授"",""研究员""]",[]
"龙光明先生,男,1983年出生,毕业于石家庄经济学院及中国人民大学,获法学学士学位及民商法学硕士学位,北京大学汇丰商学院EMBA在读,具有法律职业资格证书(A证)、证券从业资格证",中国人民大学,3,2,0,0,[],[],[]
"龙光明先生,男,1983年出生,毕业于石家庄经济学院及中国人民大学,获法学学士学位及民商法学硕士学位,北京大学汇丰商学院EMBA在读,具有法律职业资格证书(A证)、证券从业资格证",汇丰商学院,3,2,1,0,[],[],"[""MBA""]"
"龙光明先生,男,1983年出生,毕业于石家庄经济学院及中国人民大学,获法学学士学位及民商法学硕士学位,北京大学汇丰商学院EMBA在读,具有法律职业资格证书(A证)、证券从业资格证",北京大学,3,2,1,0,[],[],"[""MBA""]"
"现任复旦大学管理学院教授、博士生导师,复旦大学创业与创业投资研究中心执行主任,兼任中国香港大学商学院客座教授,清华大学深圳研究院特聘教授,东北财经大学EMBA特聘教授,上海郑明现代物流集团郑明现代物流研究所研究员,中华发展经济学研究会理事,中国海关学会理事,爹地宝贝股份有限公司独立董事,深圳市新纶科技股份有限公司(股票代码:002341)独立董事及公司第七届董事会独立董事",复旦大学,6,1,4,1,"[""博士""]","[""教授"",""导师""]","[""管理学""]"
"现任复旦大学管理学院教授、博士生导师,复旦大学创业与创业投资研究中心执行主任,兼任中国香港大学商学院客座教授,清华大学深圳研究院特聘教授,东北财经大学EMBA特聘教授,上海郑明现代物流集团郑明现代物流研究所研究员,中华发展经济学研究会理事,中国海关学会理事,爹地宝贝股份有限公司独立董事,深圳市新纶科技股份有限公司(股票代码:002341)独立董事及公司第七届董事会独立董事",复旦大学,6,1,0,0,[],[],[]
"现任复旦大学管理学院教授、博士生导师,复旦大学创业与创业投资研究中心执行主任,兼任中国香港大学商学院客座教授,清华大学深圳研究院特聘教授,东北财经大学EMBA特聘教授,上海郑明现代物流集团郑明现代物流研究所研究员,中华发展经济学研究会理事,中国海关学会理事,爹地宝贝股份有限公司独立董事,深圳市新纶科技股份有限公司(股票代码:002341)独立董事及公司第七届董事会独立董事",香港大学,6,1,1,0,[],"[""教授""]",[]
"现任复旦大学管理学院教授、博士生导师,复旦大学创业与创业投资研究中心执行主任,兼任中国香港大学商学院客座教授,清华大学深圳研究院特聘教授,东北财经大学EMBA特聘教授,上海郑明现代物流集团郑明现代物流研究所研究员,中华发展经济学研究会理事,中国海关学会理事,爹地宝贝股份有限公司独立董事,深圳市新纶科技股份有限公司(股票代码:002341)独立董事及公司第七届董事会独立董事",清华大学,6,1,1,0,[],"[""教授""]",[]
"现任复旦大学管理学院教授、博士生导师,复旦大学创业与创业投资研究中心执行主任,兼任中国香港大学商学院客座教授,清华大学深圳研究院特聘教授,东北财经大学EMBA特聘教授,上海郑明现代物流集团郑明现代物流研究所研究员,中华发展经济学研究会理事,中国海关学会理事,爹地宝贝股份有限公司独立董事,深圳市新纶科技股份有限公司(股票代码:002341)独立董事及公司第七届董事会独立董事",东北财经大学,6,1,2,0,[],"[""教授""]","[""MBA""]"
历任山东省济南市税务局税务专管员、日本广岛大学法学部客座研究员、深圳大学法学院副教授,日本广岛大学,2,0,2,0,[],"[""教授"",""研究员""]",[]
历任山东省济南市税务局税务专管员、日本广岛大学法学部客座研究员、深圳大学法学院副教授,深圳大学,2,0,2,0,[],"[""教授"",""研究员""]",[]
"现任深圳大学经济学教授、博士后导师、经济学院教授委员会主任,深圳大学国际金融研究所所长,深圳大学金融学(国家一级学科)科点负责人,北京大学光华管理学院博士生导师,兼任岭南生态文旅股份有限公司独立董事、中国世界经济学会理事、全国美国经济学会理事等",深圳大学,5,2,3,1,"[""博士后""]","[""教授"",""导师""]",[]
"现任深圳大学经济学教授、博士后导师、经济学院教授委员会主任,深圳大学国际金融研究所所长,深圳大学金融学(国家一级学科)科点负责人,北京大学光华管理学院博士生导师,兼任岭南生态文旅股份有限公司独立董事、中国世界经济学会理事、全国美国经济学会理事等",深圳大学,5,2,0,0,[],[],[]
"现任深圳大学经济学教授、博士后导师、经济学院教授委员会主任,深圳大学国际金融研究所所长,深圳大学金融学(国家一级学科)科点负责人,北京大学光华管理学院博士生导师,兼任岭南生态文旅股份有限公司独立董事、中国世界经济学会理事、全国美国经济学会理事等",深圳大学,5,2,0,0,[],[],[]
